;llm_as_judge_1;llm_as_judge_2;answer_text;gt_answer;question_text;type_;category;answer;usecase;without;similarity;gt_reasoning
377;0.6;1.0;JSON (instruction/input/output triples), safetensors (PyTorch model weights);"safetensors (model weights); HuggingFace dataset JSON (instruction triples)";List all different file types used as input;easy;List all different file types used as input;14;1;0;0.7019867549668873;from Notable Inputs formats
378;0.8;1.0;"Llama-Doctor-3.2-3B-Instruct (fine-tuned model weights; BF16 safetensors, ~6.43 GB)";Llama-Doctor-3.2-3B-Instruct (~6.43 GB);Identify the largest output;easy;Identify the largest output;15;1;0;0.9014084507042252;Notable Outputs size ~6.43 GB
379;0.5;1.0;Medical / Healthcare;Medical / Healthcare;What is the science domain of the dataset?;easy;What is the science domain of the dataset?;16;1;0;1.0;dataset is medical patient-doctor conversations
380;0.7;1.0;"No explicit train-test split is mentioned; the dataset is used as a single instruction-tuning set.";"No explicit split; 110k examples used for SFT";Does the dataset have a predetermined train-test split?;medium;Does the dataset have a predetermined train-test split?;17;1;0;0.5245901639344263;datacard does not define a fixed split
381;0.5;1.0;110,000 (100,000 HealthCareMagic + 10,000 iCliniq);110,000;How many samples are present in the whole dataset?;medium;How many samples are present in the whole dataset?;18;1;0;1.0;100k HealthCareMagic + 10k iCliniq
382;0.7;1.0;Text (doctor's response to patient query);Text (instruction/input/output triples);What is the data type of the ground truth (if present)?;medium;What is the data type of the ground truth (if present)?;19;1;0;0.425;format: instruction/input/output JSON triples
383;0.33;1.0;Instruction-following medical question answering (conversational medical QA);Supervised fine-tuning of medical conversational QA;What is the specific task for which the dataset was created?;medium;What is the specific task for which the dataset was created?;20;1;0;0.5378151260504201;dataset purpose stated in datacard
384;0.5;1.0;"Not specified; but each sample is a JSON triple (instruction/input/output), likely a few KB.";Unknown;What is the size in byte of one sample?;hard;What is the size in byte of one sample?;21;1;0;0.0824742268041237;per-sample byte size not reported
385;0.8;1.0;"Not specified; but 110,000 samples of text, likely several hundred MB.";Unknown;What is the total size of the whole dataset?;hard;What is the total size of the whole dataset?;22;1;0;0.0779220779220779;total dataset size in bytes not reported
386;0.83;1.0;Medical conversational QA, chatbot, medical consultation, and content-generation applications.;"Conversational AI; medical consultation; content creation; instruction following";What are the designed uses for this model?;easy;What are the designed uses for this model?;23;1;0;0.5977011494252874;Key Use Cases in modelcard_finetuned
387;0.5;0.0;Not specified in the cards.;Unknown;How many epochs have been used in the finetuning?;easy;How many epochs have been used in the finetuning?;24;1;0;0.1176470588235294;epochs not specified
388;0.85;1.0;3.21 billion parameters;3.21B;How many model parameters (weights) does the model have?;easy;How many model parameters (weights) does the model have?;25;1;0;0.2857142857142857;architecture identical to base Llama-3.2-3B-Instruct
389;0.5;1.0;Medical / Healthcare;Medical / Healthcare;What is the science domain of the model?;easy;What is the science domain of the model?;26;1;0;1.0;fine-tuned on medical dialogue dataset
390;0.6;1.0;"Instruction-following text generation (conversational QA; generative)";Text generation / conversational QA;What is the task solved by this model (regression or classification or forecast etc.)?;medium;What is the task solved by this model (regression or classification or forecast etc.)?;27;1;0;0.4807692307692308;pipeline_tag: text-generation
391;0.64;1.0;Medical dialogue assistant, chatbot, patient query answering, medical advisory applications.;Chatbot and medical consultation tool for patient queries;What is the intended use of this model?;medium;What is the intended use of this model?;28;1;0;0.4966442953020133;Intended Applications in modelcard_finetuned
392;1.0;1.0;~6,430 MB (6.43 GB);~6,430 MB (6.43 GB);What is the size of the final model in Mb?;medium;What is the size of the final model in Mb?;29;1;0;1.0;two-shard BF16 safetensors ~6.43 GB
393;0.8;1.0;Supervised fine-tuning (SFT) on instruction-tuning dataset;Full supervised fine-tuning (SFT);"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";medium;"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";30;1;0;0.68;"no LoRA/QLoRA mentioned; standard fine-tuning"
394;0.5;1.0;"Qualitative assessment of instruction-following and medical response quality; quantitative benchmark results not published.";"Qualitative evaluation only; no quantitative benchmarks published";What is the claimed performance of this model?;hard;What is the claimed performance of this model?;31;1;0;0.5851063829787234;evaluation_report: qualitative assessment
395;0.5;1.0;"Not specified; only qualitative evaluation is mentioned for the fine-tuned model.";"Unknown; no quantitative pretrained benchmarks to compare";Are the performance shown in the pretrained version improved in the finetuning?;hard;Are the performance shown in the pretrained version improved in the finetuning?;32;1;0;0.4202898550724637;pretrained model card has no task-specific benchmark
